EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
12.963,-2.938,2.929,4.542,-0.886,-3.325,0.517,0.323,-0.018,0.927,-0.393,0.366,1.007,-1.343,60.000,265953.000,1.000
13.952,-3.763,5.203,8.675,2.244,-1.074,4.610,3.413,-0.018,0.929,-0.394,0.427,1.007,-1.465,60.000,265954.000,1.000
5.701,4.530,4.155,-0.935,-4.131,-5.254,-5.398,0.107,-0.016,0.929,-0.394,0.427,1.099,-1.343,60.000,265955.000,1.000
-5.942,5.641,-3.263,-14.803,-14.384,-14.221,-18.551,-7.825,-0.018,0.930,-0.393,0.458,1.282,-1.251,60.000,265956.000,1.000
-10.080,-6.344,-10.760,-17.498,-16.931,-19.157,-19.428,-12.043,-0.018,0.926,-0.392,0.488,1.312,-1.343,60.000,265957.000,1.000
-5.385,-18.358,-10.971,-8.404,-10.013,-15.851,-9.030,-8.698,-0.018,0.923,-0.392,0.519,1.434,-1.282,60.000,265958.000,1.000
-1.294,-15.896,-5.234,-1.906,-3.952,-10.195,-3.085,-3.314,-0.017,0.921,-0.395,0.702,1.526,-1.282,60.000,265959.000,1.000
-4.539,-2.792,-1.660,-7.219,-6.952,-10.051,-10.350,-3.067,-0.016,0.920,-0.395,0.793,1.648,-1.282,60.000,265960.000,1.000
-9.950,3.912,-4.239,-15.929,-14.074,-14.769,-20.866,-7.204,-0.015,0.921,-0.394,0.946,1.831,-1.221,60.000,265961.000,1.000
-8.086,-2.930,-7.741,-14.214,-14.369,-16.517,-20.015,-8.521,-0.015,0.920,-0.396,1.068,2.014,-1.251,60.000,265962.000,1.000
1.056,-11.195,-5.272,-2.537,-6.184,-11.376,-8.758,-3.676,-0.016,0.922,-0.397,1.221,2.075,-1.221,60.000,265963.000,1.000
7.388,-6.763,1.939,4.612,0.478,-4.896,-2.151,2.003,-0.017,0.926,-0.396,1.312,2.228,-1.373,60.000,265964.000,1.000
4.136,6.465,5.951,-1.463,-2.349,-4.549,-8.439,1.754,-0.019,0.929,-0.394,1.282,2.380,-1.465,60.000,265965.000,1.000
-3.149,11.619,2.773,-11.774,-9.804,-9.521,-17.795,-3.452,-0.020,0.930,-0.398,1.343,2.441,-1.373,60.000,265966.000,1.000
-4.134,2.268,-2.130,-11.906,-10.918,-11.724,-16.006,-6.241,-0.020,0.925,-0.398,1.312,2.655,-1.434,60.000,265967.000,1.000
2.606,-8.197,-1.047,-1.458,-3.460,-6.665,-4.086,-2.719,-0.019,0.922,-0.397,1.373,2.716,-1.465,60.000,265968.000,1.000
8.127,-4.697,5.616,5.780,3.244,0.439,3.094,2.424,-0.020,0.923,-0.397,1.495,2.777,-1.465,60.000,265969.000,1.000
5.591,8.733,9.930,0.962,1.239,1.681,-2.802,2.499,-0.020,0.924,-0.396,1.587,2.808,-1.434,60.000,265970.000,1.000
-0.473,14.333,7.228,-7.756,-5.252,-2.942,-12.276,-1.999,-0.021,0.923,-0.400,1.740,2.960,-1.434,60.000,265971.000,1.000
-0.912,4.687,2.036,-6.974,-6.237,-6.042,-11.519,-4.444,-0.023,0.924,-0.395,1.678,3.052,-1.404,60.000,265972.000,1.000
4.782,-7.597,1.142,2.714,-0.491,-3.558,-1.913,-1.853,-0.022,0.925,-0.397,1.770,3.082,-1.465,60.000,265973.000,1.000
7.465,-7.365,3.991,7.123,2.532,-0.328,1.904,0.649,-0.025,0.929,-0.398,1.770,3.204,-1.587,60.000,265974.000,1.000
1.236,2.810,3.943,-1.714,-3.712,-2.724,-7.150,-2.808,-0.026,0.931,-0.396,1.617,3.265,-1.556,60.000,265975.000,1.000
-7.836,7.105,-1.692,-13.929,-12.907,-8.981,-18.053,-10.025,-0.027,0.933,-0.396,1.556,3.174,-1.617,60.000,265976.000,1.000
-9.422,-1.002,-7.104,-14.738,-13.751,-10.991,-16.285,-12.965,-0.025,0.936,-0.396,1.465,3.204,-1.587,60.000,265977.000,1.000
-2.711,-9.508,-5.553,-4.362,-5.167,-5.343,-3.728,-8.342,-0.025,0.938,-0.396,1.251,3.174,-1.587,60.000,265978.000,1.000
2.418,-4.940,1.069,2.249,1.890,1.494,3.506,-2.252,-0.025,0.944,-0.398,1.160,3.326,-1.678,60.000,265979.000,1.000
-1.461,8.103,4.117,-4.392,-1.221,1.322,-3.376,-2.346,-0.025,0.947,-0.395,0.916,3.387,-1.556,60.000,265980.000,1.000
-9.548,12.535,-0.552,-15.697,-9.648,-5.099,-14.280,-7.917,-0.026,0.949,-0.395,0.610,3.540,-1.587,60.000,265981.000,1.000
-11.777,2.000,-7.183,-17.141,-12.138,-9.406,-14.436,-11.285,-0.023,0.949,-0.396,0.244,3.479,-1.495,60.000,265982.000,1.000
-6.788,-10.234,-7.916,-8.186,-6.402,-7.035,-4.611,-8.299,-0.022,0.948,-0.397,0.000,3.571,-1.404,60.000,265983.000,1.000
-3.428,-9.065,-3.029,-2.420,-1.629,-2.997,0.517,-3.506,-0.022,0.950,-0.396,-0.244,3.754,-1.465,60.000,265984.000,1.000
-7.906,2.219,0.141,-8.070,-5.120,-4.407,-6.809,-3.242,-0.023,0.951,-0.395,-0.580,3.937,-1.282,60.000,265985.000,1.000
-14.655,7.058,-2.169,-16.114,-11.753,-10.233,-16.364,-6.463,-0.023,0.949,-0.392,-0.916,3.876,-1.221,60.000,265986.000,1.000
-13.779,-1.187,-4.925,-12.718,-11.054,-12.561,-14.040,-6.226,-0.021,0.947,-0.393,-1.129,4.089,-1.221,60.000,265987.000,1.000
-5.049,-10.292,-1.901,0.971,-2.226,-7.790,-1.785,0.040,-0.020,0.945,-0.393,-1.373,4.120,-1.129,60.000,265988.000,1.000
1.088,-6.640,4.771,9.413,4.041,-1.966,4.528,6.071,-0.020,0.943,-0.389,-1.404,4.120,-0.946,60.000,265989.000,1.000
-2.763,5.512,6.839,3.337,-0.054,-2.551,-3.255,4.799,-0.018,0.943,-0.387,-1.556,4.456,-0.977,60.000,265990.000,1.000
-11.275,9.760,1.017,-7.957,-8.707,-8.041,-14.307,-2.099,-0.020,0.942,-0.385,-1.801,4.486,-0.702,60.000,265991.000,1.000
-13.979,0.348,-6.340,-9.549,-10.302,-9.859,-13.592,-6.345,-0.021,0.940,-0.388,-1.984,4.486,-0.671,60.000,265992.000,1.000
-9.431,-9.416,-7.340,-1.040,-2.962,-3.919,-2.257,-3.911,-0.022,0.939,-0.387,-2.136,4.547,-0.549,60.000,265993.000,1.000
-6.377,-4.925,-2.460,3.752,3.445,4.027,4.433,0.236,-0.022,0.937,-0.386,-2.319,4.700,-0.519,60.000,265994.000,1.000
-10.898,9.776,0.784,-3.487,1.126,6.239,-1.699,-0.522,-0.023,0.935,-0.386,-2.441,4.730,-0.366,60.000,265995.000,1.000
-17.872,17.080,-1.885,-14.027,-5.278,3.042,-10.863,-5.466,-0.023,0.935,-0.385,-2.472,4.761,-0.336,60.000,265996.000,1.000
-18.261,9.364,-6.089,-14.319,-5.641,1.696,-9.259,-7.867,-0.024,0.933,-0.386,-2.533,4.852,-0.244,60.000,265997.000,1.000
-11.901,-1.110,-5.460,-4.947,1.222,5.875,1.561,-4.599,-0.023,0.932,-0.387,-2.533,4.974,-0.122,60.000,265998.000,1.000
-8.126,0.345,-1.102,-0.158,5.530,10.208,6.551,-0.797,-0.023,0.931,-0.387,-2.533,4.913,-0.153,60.000,265999.000,1.000
-12.950,10.594,-0.219,-8.163,0.110,7.823,-1.910,-2.711,-0.023,0.926,-0.384,-2.563,4.974,-0.183,60.000,266000.000,1.000
-20.230,13.914,-5.474,-19.169,-8.980,0.655,-12.798,-8.408,-0.024,0.924,-0.382,-2.411,5.035,-0.092,60.000,266001.000,1.000
-19.528,4.687,-10.452,-18.201,-10.074,-2.392,-11.023,-9.776,-0.022,0.924,-0.385,-2.350,5.035,0.000,60.000,266002.000,1.000
-10.437,-4.670,-8.238,-5.599,-1.899,2.381,1.697,-3.705,-0.021,0.925,-0.385,-2.197,5.127,0.000,60.000,266003.000,1.000
-3.501,-1.352,-1.199,3.222,4.339,7.932,8.755,3.190,-0.022,0.923,-0.381,-2.045,5.096,0.061,60.000,266004.000,1.000
-6.105,9.597,1.961,-1.318,0.157,5.758,1.171,3.268,-0.021,0.926,-0.382,-1.953,5.249,0.092,60.000,266005.000,1.000
-12.712,11.834,-2.119,-10.277,-8.702,-2.732,-10.368,-2.003,-0.022,0.927,-0.383,-1.801,5.157,0.122,60.000,266006.000,1.000
-12.754,0.128,-7.025,-9.080,-10.337,-8.358,-10.504,-4.417,-0.022,0.926,-0.382,-1.740,5.249,0.244,60.000,266007.000,1.000
-5.147,-12.067,-5.312,2.094,-3.004,-6.585,-0.288,-0.393,-0.022,0.928,-0.382,-1.678,5.249,0.305,60.000,266008.000,1.000
0.473,-10.574,1.502,8.688,2.794,-3.126,4.757,4.360,-0.022,0.927,-0.382,-1.556,5.219,0.397,60.000,266009.000,1.000
-2.882,0.305,5.019,2.069,-1.129,-5.529,-3.612,2.900,-0.019,0.924,-0.380,-1.404,5.188,0.366,60.000,266010.000,1.000
-10.154,3.713,1.084,-8.566,-9.690,-12.678,-15.117,-3.521,-0.020,0.924,-0.383,-1.190,5.249,0.275,60.000,266011.000,1.000
-11.511,-6.666,-5.014,-8.947,-11.909,-16.450,-15.424,-7.385,-0.020,0.927,-0.381,-1.068,5.280,0.244,60.000,266012.000,1.000
-6.070,-18.014,-6.079,0.615,-6.098,-12.959,-5.976,-5.258,-0.021,0.929,-0.383,-0.977,5.157,0.214,60.000,266013.000,1.000
-3.103,-16.113,-2.852,5.737,-1.931,-7.875,-1.802,-2.326,-0.020,0.932,-0.379,-0.854,5.127,0.214,60.000,266014.000,1.000
-9.064,-4.791,-2.562,-2.122,-6.611,-8.411,-10.392,-4.888,-0.020,0.932,-0.380,-0.824,5.188,0.275,60.000,266015.000,1.000
-18.406,-0.228,-8.274,-13.695,-14.339,-13.003,-20.832,-11.139,-0.018,0.933,-0.379,-0.793,5.188,0.244,60.000,266016.000,1.000
