EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
6.705,13.311,4.455,0.220,1.059,-1.091,-6.233,3.989,-0.032,0.937,-0.366,1.373,2.930,-0.732,60.000,228929.000,1.000
11.356,4.217,2.092,7.560,5.909,1.369,2.621,4.473,-0.031,0.936,-0.368,1.434,2.930,-0.732,60.000,228930.000,1.000
15.918,1.410,4.424,14.874,11.462,5.512,10.000,6.559,-0.032,0.938,-0.369,1.495,2.930,-0.702,60.000,228931.000,1.000
13.486,10.974,7.472,10.815,9.329,4.904,4.767,5.986,-0.032,0.938,-0.371,1.648,2.747,-0.702,60.000,228932.000,1.000
5.847,20.837,5.365,-1.345,0.616,-1.578,-8.077,0.820,-0.032,0.936,-0.370,1.648,2.686,-0.610,60.000,228933.000,1.000
1.880,18.104,-0.606,-7.338,-4.771,-7.218,-13.228,-4.953,-0.030,0.936,-0.367,1.678,2.716,-0.610,60.000,228934.000,1.000
5.940,7.472,-3.027,-0.831,-1.032,-5.829,-5.196,-5.975,-0.029,0.934,-0.368,1.801,2.563,-0.702,60.000,228935.000,1.000
12.052,4.931,1.648,8.223,5.927,0.159,4.633,-2.289,-0.030,0.935,-0.368,1.801,2.502,-0.732,60.000,228936.000,1.000
11.997,15.450,7.972,7.300,6.618,2.976,3.623,0.811,-0.029,0.936,-0.367,1.862,2.380,-0.610,60.000,228937.000,1.000
6.296,25.618,8.478,-1.804,0.669,-0.227,-5.228,-0.320,-0.030,0.937,-0.371,1.892,2.411,-0.580,60.000,228938.000,1.000
3.087,21.658,3.348,-6.051,-3.249,-4.035,-8.183,-3.323,-0.031,0.936,-0.370,1.984,2.380,-0.641,60.000,228939.000,1.000
6.575,8.167,-0.342,0.338,0.111,-2.766,-0.392,-3.717,-0.031,0.936,-0.369,2.075,2.350,-0.580,60.000,228940.000,1.000
11.036,1.724,1.354,7.677,5.070,1.350,7.059,-1.429,-0.028,0.934,-0.369,2.228,2.380,-0.580,60.000,228941.000,1.000
8.690,8.194,3.851,4.263,2.884,1.149,2.482,-0.879,-0.028,0.931,-0.368,2.380,2.411,-0.519,60.000,228942.000,1.000
0.560,15.067,0.707,-7.147,-5.923,-5.380,-9.945,-4.569,-0.026,0.933,-0.370,2.441,2.472,-0.397,60.000,228943.000,1.000
-4.738,9.183,-6.997,-12.694,-11.881,-11.937,-15.429,-9.166,-0.026,0.932,-0.372,2.441,2.502,-0.397,60.000,228944.000,1.000
-2.723,-4.936,-11.734,-6.189,-9.300,-12.255,-8.529,-9.708,-0.029,0.933,-0.370,2.472,2.441,-0.366,60.000,228945.000,1.000
0.901,-11.466,-9.734,2.462,-3.986,-8.542,-0.437,-6.302,-0.030,0.934,-0.370,2.502,2.441,-0.458,60.000,228946.000,1.000
-1.751,-5.283,-6.194,0.848,-5.224,-8.327,-3.508,-4.062,-0.029,0.937,-0.373,2.441,2.502,-0.458,60.000,228947.000,1.000
-9.713,1.071,-8.173,-8.976,-13.001,-14.000,-14.346,-6.279,-0.031,0.938,-0.375,2.380,2.472,-0.519,60.000,228948.000,1.000
-14.352,-4.866,-14.853,-13.485,-18.062,-19.492,-18.686,-10.113,-0.031,0.938,-0.371,2.380,2.380,-0.519,60.000,228949.000,1.000
-11.160,-17.706,-18.594,-6.443,-14.691,-18.643,-11.210,-10.632,-0.030,0.937,-0.370,2.289,2.319,-0.549,60.000,228950.000,1.000
-5.889,-21.243,-15.349,2.544,-8.474,-13.601,-2.800,-7.506,-0.031,0.937,-0.372,2.289,2.319,-0.519,60.000,228951.000,1.000
-6.472,-10.702,-10.053,1.482,-8.304,-11.607,-5.186,-5.172,-0.030,0.937,-0.372,2.289,2.350,-0.580,60.000,228952.000,1.000
-12.025,0.465,-9.689,-7.373,-13.908,-14.828,-14.523,-6.521,-0.029,0.937,-0.373,2.350,2.411,-0.671,60.000,228953.000,1.000
-14.245,-1.332,-13.786,-10.801,-16.308,-17.490,-16.809,-9.009,-0.030,0.938,-0.374,2.228,2.411,-0.732,60.000,228954.000,1.000
-9.125,-11.500,-15.329,-3.135,-10.439,-14.083,-7.491,-8.365,-0.031,0.938,-0.375,2.197,2.319,-0.732,60.000,228955.000,1.000
-2.648,-13.830,-10.608,5.766,-2.362,-7.158,2.041,-4.650,-0.030,0.937,-0.373,2.197,2.350,-0.671,60.000,228956.000,1.000
-2.577,-2.957,-4.359,4.189,-1.063,-3.934,0.112,-2.230,-0.031,0.939,-0.375,2.136,2.350,-0.671,60.000,228957.000,1.000
-7.738,8.199,-3.151,-5.083,-6.146,-6.371,-9.047,-3.620,-0.029,0.939,-0.375,2.075,2.319,-0.641,60.000,228958.000,1.000
-9.664,6.178,-6.289,-8.508,-8.464,-8.513,-11.047,-5.852,-0.029,0.939,-0.374,2.106,2.319,-0.702,60.000,228959.000,1.000
-4.361,-4.649,-6.969,-0.586,-2.948,-4.928,-1.289,-4.624,-0.030,0.941,-0.376,2.075,2.350,-0.763,60.000,228960.000,1.000
2.095,-8.398,-2.042,8.294,4.152,1.471,8.475,-0.498,-0.029,0.943,-0.376,2.045,2.472,-0.702,60.000,228961.000,1.000
1.898,0.302,3.280,5.989,3.830,3.274,6.265,1.618,-0.027,0.942,-0.377,1.953,2.502,-0.641,60.000,228962.000,1.000
-3.733,9.117,2.428,-4.728,-3.134,-1.179,-3.636,-0.906,-0.029,0.941,-0.375,1.923,2.686,-0.732,60.000,228963.000,1.000
-6.220,5.509,-3.376,-9.898,-7.030,-5.320,-6.598,-4.695,-0.030,0.941,-0.373,1.770,2.747,-0.519,60.000,228964.000,1.000
-1.408,-5.392,-6.440,-3.330,-2.330,-3.100,2.229,-4.660,-0.030,0.941,-0.375,1.801,2.686,-0.488,60.000,228965.000,1.000
4.671,-7.651,-2.868,5.186,4.823,2.817,11.198,-0.683,-0.029,0.941,-0.376,1.740,2.686,-0.488,60.000,228966.000,1.000
3.962,3.170,2.180,3.552,4.914,4.532,8.018,2.270,-0.029,0.940,-0.379,1.617,2.777,-0.427,60.000,228967.000,1.000
-2.665,13.364,1.531,-5.985,-2.212,-0.609,-3.610,0.762,-0.030,0.940,-0.380,1.404,2.655,-0.336,60.000,228968.000,1.000
-6.717,9.635,-4.288,-10.142,-7.494,-6.695,-9.326,-2.741,-0.031,0.939,-0.377,1.434,2.747,-0.305,60.000,228969.000,1.000
-3.781,-2.639,-7.934,-3.154,-5.256,-7.456,-3.885,-3.564,-0.031,0.941,-0.378,1.404,2.716,-0.214,60.000,228970.000,1.000
0.499,-6.805,-5.455,5.103,-0.831,-4.630,1.942,-1.381,-0.032,0.942,-0.378,1.251,2.747,-0.153,60.000,228971.000,1.000
-1.630,2.050,-1.698,2.686,-2.784,-5.064,-3.211,-0.544,-0.033,0.942,-0.379,1.190,2.686,-0.183,60.000,228972.000,1.000
-9.180,10.281,-3.451,-7.839,-10.604,-10.695,-15.036,-3.770,-0.032,0.943,-0.377,1.190,2.716,-0.092,60.000,228973.000,1.000
-13.648,4.547,-9.813,-12.721,-15.032,-15.438,-19.072,-8.053,-0.031,0.938,-0.376,1.068,2.838,0.000,60.000,228974.000,1.000
-10.537,-9.526,-13.054,-5.663,-10.543,-13.269,-10.356,-8.469,-0.030,0.940,-0.377,1.068,2.747,-0.122,60.000,228975.000,1.000
-5.311,-14.751,-8.936,3.862,-2.811,-6.408,-0.079,-4.683,-0.031,0.941,-0.378,0.946,2.777,0.000,60.000,228976.000,1.000
-5.837,-5.978,-2.560,3.800,-1.083,-2.544,-0.320,-1.384,-0.030,0.940,-0.376,0.977,2.777,-0.122,60.000,228977.000,1.000
-11.753,2.725,-1.624,-4.111,-5.926,-4.797,-7.925,-2.040,-0.029,0.938,-0.375,0.916,2.808,0.000,60.000,228978.000,1.000
-15.283,-2.716,-6.224,-7.313,-9.020,-8.007,-9.568,-4.505,-0.029,0.937,-0.374,0.854,2.869,-0.061,60.000,228979.000,1.000
-12.312,-17.328,-9.259,-0.521,-5.217,-6.404,-0.933,-4.585,-0.028,0.936,-0.376,0.885,2.930,-0.092,60.000,228980.000,1.000
-8.148,-24.174,-6.626,6.463,0.030,-1.847,6.810,-2.356,-0.029,0.936,-0.376,0.885,2.777,-0.153,60.000,228981.000,1.000
-9.816,-17.246,-2.753,2.394,-1.508,-0.964,2.583,-2.053,-0.029,0.937,-0.376,0.854,2.869,-0.092,60.000,228982.000,1.000
-15.780,-8.720,-3.979,-9.331,-8.829,-5.404,-8.704,-5.788,-0.027,0.938,-0.375,0.854,2.960,0.000,60.000,228983.000,1.000
-17.658,-11.176,-9.290,-14.701,-12.557,-9.109,-12.352,-10.091,-0.028,0.936,-0.375,0.793,2.899,0.000,60.000,228984.000,1.000
-11.640,-19.608,-11.309,-7.822,-7.612,-6.461,-3.783,-10.163,-0.029,0.936,-0.376,0.854,2.960,-0.092,60.000,228985.000,1.000
-3.853,-18.262,-6.269,1.335,-0.174,0.003,5.291,-6.155,-0.028,0.936,-0.375,0.885,3.021,-0.183,60.000,228986.000,1.000
-2.174,-2.929,0.734,0.760,0.691,2.990,2.976,-2.981,-0.026,0.936,-0.373,0.916,3.052,-0.305,60.000,228987.000,1.000
-5.794,12.284,2.485,-7.239,-4.715,0.307,-6.574,-3.808,-0.027,0.934,-0.373,0.824,3.082,-0.275,60.000,228988.000,1.000
-6.952,13.360,-0.896,-9.690,-7.434,-2.432,-9.077,-6.011,-0.026,0.935,-0.375,0.885,3.021,-0.214,60.000,228989.000,1.000
-2.190,4.909,-2.661,-1.430,-2.431,0.141,0.038,-5.057,-0.028,0.936,-0.376,0.946,3.113,-0.305,60.000,228990.000,1.000
2.713,3.446,0.944,7.388,4.411,5.530,9.322,-0.904,-0.028,0.935,-0.374,0.854,3.143,-0.366,60.000,228991.000,1.000
0.978,14.686,5.555,5.249,4.556,6.809,7.188,1.945,-0.029,0.935,-0.374,0.763,3.143,-0.397,60.000,228992.000,1.000
-5.237,26.099,5.127,-4.601,-1.108,2.432,-1.955,0.783,-0.027,0.932,-0.372,0.854,3.174,-0.427,60.000,228993.000,1.000
-7.186,24.698,0.829,-8.270,-3.243,-1.288,-3.696,-1.436,-0.028,0.933,-0.372,0.885,3.204,-0.397,60.000,228994.000,1.000
-1.350,15.111,-0.272,-0.151,2.993,1.225,6.355,-0.222,-0.029,0.935,-0.374,0.916,3.204,-0.458,60.000,228995.000,1.000
5.436,12.858,4.880,9.353,10.907,6.937,16.165,4.036,-0.029,0.932,-0.374,0.824,3.265,-0.458,60.000,228996.000,1.000
4.838,22.355,10.651,8.077,11.033,8.085,13.522,6.394,-0.030,0.936,-0.371,0.977,3.143,-0.519,60.000,228997.000,1.000
-1.962,30.495,10.033,-1.208,3.880,2.745,2.700,4.139,-0.032,0.936,-0.372,1.007,3.143,-0.488,60.000,228998.000,1.000
-5.907,24.992,4.211,-4.541,-0.712,-2.312,-1.310,0.724,-0.030,0.936,-0.375,1.007,3.082,-0.488,60.000,228999.000,1.000
-2.105,12.063,1.228,4.158,3.255,-0.471,6.944,1.355,-0.028,0.935,-0.376,0.977,3.082,-0.549,60.000,229000.000,1.000
4.030,8.515,5.286,14.857,10.133,6.069,16.335,6.128,-0.027,0.933,-0.375,1.099,3.113,-0.580,60.000,229001.000,1.000
4.662,18.771,11.184,15.223,10.698,9.464,14.746,9.964,-0.030,0.936,-0.368,0.977,2.899,-0.580,60.000,229002.000,1.000
0.296,28.469,11.443,7.264,4.772,6.654,5.530,9.306,-0.029,0.936,-0.370,1.007,3.021,-0.549,60.000,229003.000,1.000
-1.394,23.697,6.322,3.950,1.036,2.818,2.212,6.457,-0.030,0.938,-0.370,1.038,2.991,-0.488,60.000,229004.000,1.000
3.272,9.748,3.123,10.805,4.598,3.555,9.167,5.859,-0.031,0.939,-0.373,1.007,2.960,-0.519,60.000,229005.000,1.000
8.505,3.785,5.882,18.130,9.733,6.917,15.356,7.702,-0.032,0.937,-0.375,1.099,2.899,-0.519,60.000,229006.000,1.000
6.936,11.573,9.785,14.635,7.901,6.399,9.867,7.831,-0.030,0.937,-0.374,0.977,2.869,-0.458,60.000,229007.000,1.000
0.024,20.258,8.070,3.521,-0.051,0.687,-2.306,4.068,-0.028,0.938,-0.374,1.099,2.777,-0.336,60.000,229008.000,1.000
-3.610,16.798,1.660,-1.479,-4.623,-3.700,-6.402,-0.117,-0.030,0.936,-0.375,1.038,2.808,-0.275,60.000,229009.000,1.000
0.039,6.163,-2.058,5.073,-0.618,-1.025,2.101,-0.017,-0.030,0.936,-0.375,1.160,2.747,-0.244,60.000,229010.000,1.000
4.751,4.121,0.430,12.691,5.604,5.601,11.212,3.817,-0.029,0.939,-0.375,1.099,2.808,-0.244,60.000,229011.000,1.000
2.574,14.768,3.809,9.259,4.718,7.997,8.668,6.044,-0.031,0.942,-0.375,1.099,2.777,-0.275,60.000,229012.000,1.000
-5.239,24.126,1.266,-2.396,-2.924,3.552,-1.585,3.481,-0.030,0.939,-0.376,1.038,2.625,-0.214,60.000,229013.000,1.000
-9.852,19.014,-5.919,-8.420,-7.859,-1.618,-5.152,-0.813,-0.029,0.937,-0.375,1.160,2.655,-0.183,60.000,229014.000,1.000
-6.783,5.294,-9.793,-2.891,-4.402,-1.126,2.886,-1.815,-0.027,0.939,-0.373,1.129,2.686,-0.122,60.000,229015.000,1.000
-1.633,0.201,-6.252,4.409,1.914,3.321,11.437,0.786,-0.028,0.938,-0.375,1.068,2.716,-0.061,60.000,229016.000,1.000
-1.798,9.233,-0.240,2.079,2.520,5.038,9.207,2.710,-0.030,0.937,-0.373,1.007,2.655,0.031,60.000,229017.000,1.000
-5.950,19.228,1.334,-6.692,-1.979,2.256,0.699,1.562,-0.030,0.937,-0.377,0.977,2.686,0.031,60.000,229018.000,1.000
-5.960,16.935,-0.916,-8.343,-2.570,0.838,0.095,0.475,-0.029,0.936,-0.372,1.038,2.716,-0.061,60.000,229019.000,1.000
1.352,7.244,-0.098,2.140,5.433,5.971,11.406,3.705,-0.026,0.937,-0.373,1.099,2.777,-0.122,60.000,229020.000,1.000
8.866,5.724,6.586,13.644,15.169,14.244,22.281,10.146,-0.028,0.938,-0.373,1.007,2.747,-0.061,60.000,229021.000,1.000
7.982,16.100,12.914,13.354,16.701,17.314,20.204,13.898,-0.026,0.937,-0.374,0.977,2.808,-0.031,60.000,229022.000,1.000
-0.077,24.343,11.446,3.630,9.891,12.564,9.075,11.528,-0.026,0.937,-0.375,1.038,2.838,0.000,60.000,229023.000,1.000
-5.955,17.707,3.451,-1.719,4.070,6.219,3.417,6.274,-0.027,0.938,-0.376,0.977,2.808,0.031,60.000,229024.000,1.000
-4.487,2.491,-2.649,3.546,5.122,4.783,8.361,3.587,-0.026,0.939,-0.376,1.007,2.869,0.031,60.000,229025.000,1.000
-0.707,-3.947,-2.045,10.147,8.029,6.773,13.228,4.283,-0.024,0.939,-0.374,0.946,2.808,-0.061,60.000,229026.000,1.000
-1.745,3.755,1.017,7.080,4.953,5.890,7.379,4.452,-0.024,0.939,-0.369,1.007,2.960,-0.031,60.000,229027.000,1.000
-6.502,12.244,-0.022,-2.495,-2.921,0.670,-4.143,1.679,-0.025,0.940,-0.373,0.977,2.960,-0.153,60.000,229028.000,1.000
-7.510,8.135,-4.784,-5.517,-6.532,-3.060,-7.137,-1.297,-0.024,0.938,-0.371,0.854,3.082,-0.153,60.000,229029.000,1.000
-2.131,-3.614,-6.874,2.499,-1.555,-0.357,2.014,-0.561,-0.023,0.938,-0.374,0.854,3.052,-0.092,60.000,229030.000,1.000
2.865,-6.893,-3.390,10.615,5.157,5.535,10.857,3.040,-0.025,0.937,-0.373,0.793,2.991,-0.122,60.000,229031.000,1.000
0.146,2.978,0.535,7.129,4.527,7.161,7.538,4.556,-0.026,0.935,-0.372,0.763,3.021,-0.061,60.000,229032.000,1.000
-7.941,12.628,-1.283,-4.294,-2.529,2.825,-3.203,1.552,-0.025,0.936,-0.375,0.671,3.143,-0.214,60.000,229033.000,1.000
-12.043,9.005,-7.289,-9.426,-6.481,-1.220,-6.737,-2.471,-0.024,0.938,-0.372,0.702,3.265,-0.153,60.000,229034.000,1.000
-8.131,-2.889,-10.071,-2.867,-2.436,0.465,1.192,-2.810,-0.025,0.938,-0.375,0.732,3.204,-0.183,60.000,229035.000,1.000
-2.723,-7.406,-6.530,4.600,2.992,4.831,8.576,-0.012,-0.024,0.939,-0.373,0.610,3.174,-0.092,60.000,229036.000,1.000
-3.799,-0.227,-2.209,0.932,0.807,4.548,3.874,0.908,-0.025,0.938,-0.372,0.671,3.235,-0.183,60.000,229037.000,1.000
-9.835,5.808,-3.638,-10.485,-7.749,-1.613,-7.712,-2.509,-0.024,0.939,-0.371,0.641,3.296,-0.183,60.000,229038.000,1.000
-11.928,-0.851,-9.144,-15.317,-12.487,-6.558,-10.969,-6.573,-0.025,0.939,-0.371,0.641,3.357,-0.183,60.000,229039.000,1.000
-6.087,-13.493,-10.902,-7.859,-7.850,-4.113,-1.326,-6.319,-0.024,0.938,-0.371,0.580,3.448,-0.244,60.000,229040.000,1.000
1.075,-15.664,-5.674,1.103,-0.338,2.665,8.818,-2.332,-0.024,0.937,-0.374,0.519,3.326,-0.214,60.000,229041.000,1.000
1.087,-3.786,0.506,-1.036,0.354,5.491,6.827,-0.155,-0.025,0.938,-0.372,0.702,3.387,-0.244,60.000,229042.000,1.000
-5.048,7.514,0.360,-11.568,-5.573,1.870,-3.281,-2.876,-0.024,0.936,-0.372,0.610,3.387,-0.183,60.000,229043.000,1.000
-8.415,5.038,-4.820,-16.362,-8.594,-1.845,-6.819,-6.928,-0.026,0.938,-0.369,0.610,3.540,-0.153,60.000,229044.000,1.000
-4.519,-5.277,-7.144,-9.402,-3.287,0.480,1.079,-6.929,-0.025,0.937,-0.370,0.580,3.418,-0.153,60.000,229045.000,1.000
0.729,-6.896,-3.014,-0.878,4.038,6.187,8.820,-2.864,-0.027,0.937,-0.369,0.671,3.479,-0.122,60.000,229046.000,1.000
-0.378,4.378,2.191,-2.657,4.140,7.643,4.736,0.257,-0.027,0.936,-0.369,0.671,3.418,-0.183,60.000,229047.000,1.000
-6.352,14.525,1.785,-11.562,-2.313,2.913,-6.459,-0.573,-0.028,0.936,-0.370,0.671,3.418,-0.214,60.000,229048.000,1.000
